<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: bossbase_split_manifest_v4.csv>
index,image,split,rank_hash
29,30.pgm,calibration,6c6de1d415e51d7f22f7e7ca2a4aad27996e3a0ce61a78aece857f06ff07135b
30,31.pgm,holdout,d1f06fc84194bd3233493c16173a87241e494c14139338e704f4609de51114c9
31,32.pgm,holdout,b8c00f3227807452f3da29c179930249fcae31b228f48526c230836f53425fce
32,33.pgm,holdout,9716fe4deb50b6960f3f5cd824cc69ae00e708d64ab78142d094ea3f000a95df
33,34.pgm,holdout,fac9f4d8f493fdc27f45ed3382a9a6d1eec17570a1cebfbdcabca873cccf6cf5
34,35.pgm,holdout,a5d27e2dac7b9c1dedd0cfe53fb30a5829ca6c9703746fd2d210d85500bed279
35,36.pgm,fit,346d841e88baf732632b221cbf0c63cc7b72a558e11e949259b495bb4d715e23
36,37.pgm,fit,572c8cb50257cb4a3d6e646b8bc8a4f1fc4dd825626d05c7f6401beb58785b06
37,38.pgm,fit,43b4e8094da63900111a32840aa04c1a29ec8d160f142718a49fbe95fc172b7e
38,39.pgm,fit,096119f946f48b3ad021cd331163cd19dcaffe47af3c03683c840612f4ae4d4d
39,40.pgm,holdout,97acc372fe242721430e717a85a567328b0f10f0e1fe2ddf4f0a0f9dc9491cbb
40,41.pgm,calibration,6068e6f4ff7bff965b00056f392fb7a778dfe6d0fa3961db17bb7d31bb738627
41,42.pgm,fit,2abd7442aae836cbf5b41013719ec5d94067d477aa9c924ff6a8ace21f92b53d
42,43.pgm,fit,36165157c3d3f7b71fcc8558a3b79a4bd812f73a51328803bc8aca75d77e5411
43,44.pgm,holdout,c1fabc1da6c040e93299f0209ebc12fc32b08538a9bfc85d6aa54257783949eb
44,45.pgm,holdout,b96f015725d611b99e6d2aecca69e0a16bf1af13f733d01daebeef18fea7537b
45,46.pgm,holdout,bde0cdd0ae0da105268de98ec580eecc3576b682992377ef67387bda236a8318
46,47.pgm,holdout,82e35be7df2ea76c26b443e00c8cb91d01c6348565ccd6e31fef67ee8993f7f3
47,48.pgm,fit,490dd834c8ce635e396f6d2e79fb66cca86d5e4341c3f4a76cdf41db67997946
48,49.pgm,fit,3332536966fbb264a88d753294b301857ccb76383833a8df38672d906f655f2e
49,50.pgm,holdout,d7e989f79220dddbbc7e513c6cc7cfbea97af83e4eb270f98b7ea5a5cc14adf7
50,51.pgm,fit,59d3c323829b0bc7b1bf987eb854e0aaf89ed68612605776ac9d2e95631b46fe
51,52.pgm,holdout,8fe5915ad9298b25f22f6118dd5c2245df00ba13b1290771f9bc78875d728ebd
52,53.pgm,fit,45cca62bd4248c5acf11d628f842c32cfd0103f1d6f062c143f90706815efde9
53,54.pgm,holdout,b9a547e9954f046d6c0b5c220cac2881cf46c24f5748af9115866285b5b33f2b
54,55.pgm,holdout,d651d8a5f3a9fbe6c609b8fb2a59467dfb13194e64e3d2903e3101b53d4f14cc
55,56.pgm,holdout,980e164c9ceb386cf3fbd7b9f2435deda4b58f38281a96419538f3830ea8fcc7
56,57.pgm,calibration,70d0c495d793aa05daae8468e4fbd5bf76431b5a15c6d609f038ea945e239e35
57,58.pgm,calibration,7d544c0848769b7267693f969b8e850fdd19560ac5a93dc2ec45ca0063327fcc
58,59.pgm,calibration,63804ad903eaba4ac42e239c9fc302c9d3e7d2bb5ffd30d24a19cc50cc315cad
59,60.pgm,fit,1dadae87815347adab585b3398869ba8426f0e142ef80c61d884d2e9cbd05824
60,61.pgm,holdout,a62ba58da5dc962419f6142b4d8d517f980f88a9ba842f4f6e87648a3c7dd490
61,62.pgm,holdout,9370ec34b956cf2ab01fd4bb36f20df4b3581923c6858a11c72c390073141e30
62,63.pgm,holdout,e65afa6d19c2911b6919f3ee49c87b411e2cc05b861199cf7f3e04e24f7890c1
63,64.pgm,fit,154280a19d6da4e2f9da93c6d7885e83184a346fbf3235c16bfa6cc9e21e8896
64,65.pgm,fit,47a6bb7b814e83575fc19c3efb697ae38967fc9a58f16ff08876c114617090f2
65,66.pgm,holdout,fede7dfc24f3351d9d0ec445594c294e142c88272ce0167a3fdae92bcd53bb97
66,67.pgm,calibration,7adc4a5288ad97fc668132985b88f9fd3636d70eccabed5c7d72a07b581aaaf5
67,68.pgm,fit,20329f1b81d33c0fec9f110c467526b9b0bd06650a8d2f276a2c80e68fe0886e
68,69.pgm,holdout,be285b36b21c3b7a94c128a42304441049b19076637b34b7ecb980fb5e852766
69,70.pgm,fit,4b4102696e98abd7a1e08dbecd075badcdae279d3b254b23a534c50c23b99361
70,71.pgm,holdout,d7ae147434aa8362bdd7ca9fb7725e9f6d8ef4a6dbf7f13e39760b0bffaea6ef
71,72.pgm,fit,38dbd76113bf77596fb07e99ffa973130acc9a7dfdae0a1e30c372ed9f0f711b
72,73.pgm,calibration,7e1f2ba8d589a5eca7a5245725db98625e54465d30b88dd5838adc965781e480
73,74.pgm,holdout,b480198258956e22e12bb8e11e3519445029f84e78deb962c5ff67f2dbec55a8
74,75.pgm,fit,3557c9d6a87cb6b0207bd9c9194aaf7cc951cca2712c2aa43681b0990a293f21
75,76.pgm,fit,4fd56a85df3a2974faeeb350f1eaa11a9b24fe98188e7deff00ab6efd588be3b
76,77.pgm,holdout,e8ba3aa0597ac228c99bfe6223483c620eae53f36abf4e5a00cce146df842ba5
77,78.pgm,holdout,87f02d2ff6a6e1422bc3f51e40962b07148478d8271660d82f1a448c6eac2358
78,79.pgm,holdout,c0884bd8d3875ef699ef9f6e9bcf95ed500beaf62829d95cb5c853387b083cfc
79,80.pgm,calibration,6acaa0a76a25c9467a8d20252c122e2d6cce377d7ba1f70fc14bc8f172eefbba
80,81.pgm,holdout,c320a20f010a7466c690e1bbdfca6ba4904d42f77b40e78fbeca63ce909788a7
81,82.pgm,holdout,815706dc68cae215d68d54e069bc419a67cade46345fdbafb3a7031791f56476
82,83.pgm,calibration,6c3006e6f78014cffa5d85a8ce543017f2407724b9e506b3ce52a801daeadb15
83,84.pgm,fit,501253016b005584807666c6f43a0eebd835619d35e1bfc776285c075916c93e
84,85.pgm,fit,418c9ee3da6186eb13bd6c428232226502583942a4653d17b08e097b36bbcf1a
85,86.pgm,fit,15dbf1834aaecb09b17cf91b5dc4962492d29a7b8716eb4865aaee58b26958ab
86,87.pgm,holdout,bff6e75ec4052dc4f32cd05a318d53dc9cc67b9b388717110681cf1dda8c5c4b
87,88.pgm,holdout,c7d0f29864c49fb7757d074b6c1e5ca1d2a0f7ee63bba528a2470ded64a4c4af
88,89.pgm,holdout,e4ba670145acce91a4048ee54a1465f92045bd0c4dde7a4beab0e8349e8ed03e
89,90.pgm,fit,28efe5397633afb09e9fbff5a1f1c29252f1034616b971800190098627defb24
90,91.pgm,holdout,d8f940070f57ba66cf3dacaf8f8a1f38c8c04173cd4df9e4bd10ccd8f5846942
91,92.pgm,calibration,72faa1ed099a798315c10fdacfbdbe7a56e35dfd30c5de1263ef2d634200ecea
92,93.pgm,fit,30756908482f8a33950dfac6698807ea41de74730d837699c2212b98335f4502
93,94.pgm,holdout,ff413c2854d238cb2ff7228166c0f805ef8612e94d987ab2c627ddabcc9de50d
94,95.pgm,fit,44450e0804a48fa69c37cbdbda5a376085ca04b1a70842b8570af48e13a5bdd9
95,96.pgm,holdout,95f64284736c46107a2aef3604ed24863672cf8e5753fda443573a7f412571f2
96,97.pgm,holdout,ff3befb56205e7128e5a99adbb1199199e3e771c61fc489aef223d5e18d5632f
97,98.pgm,fit,47a3efc3b557e72e11b93d531eb0f475b438079d20abfce2f1f5ee8b983e4148
98,99.pgm,calibration,7904c5dad2bb19447f7e34fa25aa116d7fd8b09dde966e7e4c1f3dada9d0a847
99,100.pgm,fit,2c9b315a2a30fa7ce8720667ed41b3efd4f3e8d34671a2f208454841f08fa71b
100,101.pgm,holdout,8ffb5f5a8e2ea22b344447212cca1001e51c00fdd27d8b266ddb9ffa9da42c9b
101,102.pgm,holdout,d9e0e6e84667c0979b0bf8dfbb886f2a599ed710aeca03190ce07c412a856382
102,103.pgm,holdout,bb9856c3595d211f0dd04f4d246445ad5963c657f6f818056699414bbca33415
103,104.pgm,holdout,8e81e5f5a24383c3c7c6d67ca350192f7d3c900bb93b90b8d173403c21fb8959
104,105.pgm,calibration,5a1fc238adfc841cba447966e27c4b5ef8dce3b7692568b6bf16f3821f6bfead
105,106.pgm,fit,55cb3e1c71c475d62775deade67a7bbd09989d99aa9cfde3bdfaba463aad7443
106,107.pgm,fit,35bb814f66151df304b15711e028d728fb34737edb9328f5bc2e26972a472d69
107,108.pgm,calibration,7e630df77f0c3d54b2b4d2823359de9c1c40247ca9e62188e35e4d6619d98026
108,109.pgm,fit,44224a7126fa7ea9582c7c0f483eff6ebc438e2d6ff4c0acf6630c1dd7275c05
109,110.pgm,holdout,e5fc93feb7dce09cda37da5fb74b5d241d1b395a678d89df187491bbdd4f852b
110,111.pgm,fit,00aca1e33397ee988fd84a1075bfcb1fc977643f60839611aeab5321b6a1f8b9
111,112.pgm,holdout,f2658b047c0d965c67768fac69acda757d53e016b6b8b479c6035d4b280c21f3
112,113.pgm,holdout,957f3d67d65a52b0ca9098d671bbf8d147fa8b1a0b8e9c7c771b75fa81334391
113,114.pgm,calibration,66ecb3256bfb9d5c0c4473db400025e90deafb00e9f16404c668bf330662d056
114,115.pgm,calibration,6bfa7d0b6521e25f085c684519d942eb4e773efb596b1b11a0082f1b85c70873
115,116.pgm,holdout,c244a807a9aa6cffc53effc48a9f37cb14abc95fd074dd8e212cde075ce58100
116,117.pgm,holdout,b0cb2b01af02a02d6483227b1115091e81692cfd902207abaf7974f9485c603b
117,118.pgm,holdout,b338edeebd90b8878f973e450d76823a40f6cbdc0be87390e4f883300cf87c87
118,119.pgm,calibration,61c86bf26683da9902d2e5573c1777f38e2144a4b1ba2c5ebd34b736e5c9b329
119,120.pgm,holdout,d3910475b64d2db194be5401c3d92126d567d014e2940a30c6c1f46faffbd972
120,121.pgm,fit,36e2931cf260dff9185d9ed3c8aeafc49e6f4e14c6e92531cea73d7eb4796bd8
121,122.pgm,holdout,ccba43b7e67d9da8ec8cc428f7538339d7ea11ae75ac4c2b08f8ef5962e31970
122,123.pgm,holdout,abb79fc0ddad9ed6faf1efc512c47d7ff4b37036f80f19f493e509f7674f63a9
123,124.pgm,holdout,e2e65fadb50b2da6c98bd84477e1a3a1a383ca1b5cf984332919c886cf06b12d
124,125.pgm,holdout,d8fa49ce1e6611e7804aa1ebc2621bc5a51894070d66394b7cb427ec349bacc2
125,126.pgm,holdout,860181ee0a7aab0fe9fb0a7a56b9cd3591b30eacff0cf899baa8de26f0ff9bb3
126,127.pgm,holdout,dcfa439189444a52fa9d705dfa010f368c64ffb415ccdc50a496f0ef4a5bb8ab
127,128.pgm,holdout,b7290ea2a1f9117238418439f51f4b2e924234cd020c96ff5ee19371eae06be9
128,129.pgm,holdout,84c21d58edafde8a88301b67e1cf261c4235e4fbdfcd050e896b8bef07073f27
129,130.pgm,fit,1ed725cc12411876e2bd5f0b9227c75ea31ba012b0209c340035eb4276a1691b
130,131.pgm,holdout,90586913313fcc82aad9e5c4985ba2e266cfa2929531852c4c0a3be39a6d0aca
131,132.pgm,calibration,5c627433e9548b2c5193f29e549bd38dfcf455ce152a7868b5259509b9056208
132,133.pgm,holdout,af90924898211f939a92b2da8e83f12f43c9a67492b562ba172254e78872b52f
133,134.pgm,fit,413499b65fb6078206e8de56469de623022b8e619d10fc639294a7278a565687
134,135.pgm,holdout,921ab3174dd3039a06a143dc3ef82b627e2803f9c6a9961cb12145606f85e732
135,136.pgm,holdout,bf6afd3abb841a68b756a36f350ce7edf4602f6c26e85e4d00ebd29a463d0ee1
136,137.pgm,fit,29009828b376fd15c2139bcccf8f3e1ab30dd0616d040562b4387c50fa837a88
137,138.pgm,fit,3ae927398cdc31e77e65b0616f38bfc1096bdb8272d94ade1e9046f39fac5eef
138,139.pgm,holdout,98c03f506c1674674e22e2e01966dc387b21507e5bf016c36d782fabd4119021
139,140.pgm,holdout,d8debb01a88782249133d92a147b48407396217d667030f46baa2ace45be6379
140,141.pgm,holdout,d4e6b65344d2186b359adcf554d659d2cfb1e6ca64560eed5ddb0704eda90ab9
141,142.pgm,holdout,91f634a0ca6f423909df0ca27ab016a1b8d1b383cbd03d138b2ee562fc50b4ee
142,143.pgm,calibration,6e521ff2130c63e05b2b5b2a5f2499bc0126589cf871249f00fa2cbbee3f2f8c
143,144.pgm,holdout,9352f3f53f771f15b58e0944aa1e06527f215a8f2cad57ec83585a4704f14aa6
144,145.pgm,holdout,d8ca60799adf4760b60224f828b4376e42e0353b4529ed0f0a92231d07b9f0d3
145,146.pgm,holdout,9b5bd976d36c5000edb32311fbac9be219a6158fa05af44efb7ebec986fc8e75
146,147.pgm,holdout,d5648ffb1fde8de1a17ae888b2c2f713068dce1d6f222d7362880209b94c7482
147,148.pgm,fit,342e51e7cd59574151bf7dd642e277db8964e4682510bb0a4c7e2e90069b799c
148,149.pgm,holdout,abb42fdf169e2e4f3b87870dabfd09a7be9597731875dca500d9621536bcecc8
149,150.pgm,holdout,c68b8e89e0a7a2364a17e47c39bbcfb05fb3024bfa3222db3520a03684cd3ce7
150,151.pgm,fit,1105f6c3058ff6eee240985328174f44f8548058638517b4cfd335fa317299f8
151,152.pgm,calibration,635b71187f160004ffde6af057812e4a5a487b27d9724ad03d0070976a2e548c
152,153.pgm,holdout,87513ee36c9b121225f60ee95d507c05fb4ea816d6fd049114e1d308d2cb5c02
153,154.pgm,holdout,9d19c23b3219ace9177d26887ba97f3392b2b4b7c8249d3ba79a5cb4303d888e
154,155.pgm,holdout,fb937a72bf593197c8d072205dc6405de189f28bc7311b32f951af3f868adfb1
155,156.pgm,holdout,9612b4a8c90b54a54000f67b8eb1b5b08d6f85130506c6d82b828d4817123c38
156,157.pgm,fit,3482b90883ea843185ef155bfc8f40ed66a9c67798d96b0e7467f83f3fb53435
157,158.pgm,holdout,8f4dc9fa0d416702fa03de5ce614758227016114c37ee02a9d90938e666a31fd
158,159.pgm,fit,18b14a696c62c3d96407ff105d2fbd3c04972d471266105aef878277fdbd843b
159,160.pgm,fit,0156260fb37d968cf61227d8c9d2cbc4aebbb311cb932006f37e7f4bbe3c6a1a
160,161.pgm,calibration,6204566e505c6502a234541b7da7ec35152fa5937e426f75e250485b5fe9b845
161,162.pgm,calibration,6f6606f3ebda4bf9c74d040459ba26ab6ea9e6807c4b8ea7eec7906ef38e1e3b
162,163.pgm,holdout,f362f8e698b93292812040dd17e01b0b77a1a7d329abe6fa151b52828307fdcf
163,164.pgm,holdout,a87b1dbd06abab1f6070d029ad7535f4b0293138cc8344e94c7862d3eb8c5cfb
164,165.pgm,calibration,672d585edd58ddd46f280dcd224770849653c8efc04816e933f108cdf409c1b6
165,166.pgm,calibration,5a4a42f88ba36402d8ff7c21e62d711cef6bdfc0c5aef866ee9b22b2cac2b60b
166,167.pgm,fit,0a2e844442dbbddfefe11d6002a969d16a5496c00356b62e7e9d2895cdb35de0
167,168.pgm,holdout,d52da91799304bc4b21a56fb887f4fd663232592720897bfdfaad52b3c247a34
168,169.pgm,holdout,ec69f3957fb9d8846e100fa4afca7f94e2c976b84da40f11c67134c6211ad566
169,170.pgm,fit,11f04f296867a9a9e21df939f573cdc87594ecd7f05c99292b87cd25746ebbd2
170,171.pgm,holdout,8302a9872d62326a985ee76ddd4d39d24f176727fe66c004c88acbf6b1ebc0f9
171,172.pgm,fit,4001c396ce060303971cd1b5cdc3c4a01682dea10914301c196997a0df3a45db
172,173.pgm,holdout,8f8a2ab51f1c6a320993b19c8b89bd27cb6dd04b9b5211a5bab0f4bff6de443f
173,174.pgm,calibration,73d67be1cb31aba04eb089de9ca0aed7792987721945e69515e6a2252655d5e4
174,175.pgm,fit,4e7022bf770843bf4851663eb294456dfc4c4f33ef1186a298f18d67f3d681a4
175,176.pgm,fit,3e9776713ade9f3e41ec87f8e360444ce5cc25f30f5ac99c58136ea341a3a00d
176,177.pgm,fit,442f3a343de6c7af0c561eba725bb38d2a538962e2ad0b374dd4a995ff59e5d4
177,178.pgm,holdout,cc73d0b1f92074b0c481e5ece30f49e04b2932b57b3298be7ceb94933519f0a7
178,179.pgm,holdout,bade92f8fb8ce37ccb70feb9f4a61a385c85a665d5af252739bdf27528d4e38b
179,180.pgm,holdout,e0b009c7041bd1b443810fdfcfaf5720ed983f707673bef8491680b4c6532672
180,181.pgm,holdout,c59e93c7bdb3b6760711321b6a62665316b2adb811b04dcd39c8917098aedbbf
181,182.pgm,holdout,a535ce087cd4e251077cd27d04aabf37218fb849cb31051c57c675c08a57519e
182,183.pgm,holdout,9d7eff2c4b47418ebc92a14e570d980398b8aa4ce5f3a511ca0ecc76c30c7345
183,184.pgm,holdout,b1a9e3f01ab0df31db4af1ab283dc97de074d91cf15a32853031e8c5212c05c8
184,185.pgm,fit,59a19f2a99a69c540b776ccbe935ee2922014bdf227ad8023c2ec5032f004d90
185,186.pgm,holdout,e381eb225ddc76857c164b38377d453ef369c448afc913e6813e08c7c70ea3fd
186,187.pgm,holdout,b674eb49cd636790db774babccfcd639baae5a6fa9fe44677d058086671fb4eb
187,188.pgm,fit,198aca37b7ea01ead0d1284ad23a2dfdccc3e52f8395a914c101ddd3d8078bf6
188,189.pgm,fit,52fc6755dd0392bbf29d1d115b6b4f7c58873714f538693af6b741f4ff57383d
189,190.pgm,calibration,6410d7499dc5381cd74b773c3309c7ea8a7c8ba4109063c27f80b7655dba7c70
190,191.pgm,calibration,7d90cb3361d6f3e4f6dfb62e7c2db75fa199ffc4968872d876c27d53090080c1
191,192.pgm,holdout,9fb0653959e4b94c1ac4fb0a64a0d5bb7f95170489b5f286ddf9bfcea08c880f
192,193.pgm,fit,3c6b80a3e5dbb93a95d36cf10298fc2eca949ceb47d3fbf56b3e6608fd6542ec
193,194.pgm,holdout,80e7bcba74b8364f3d89ddd5c0ef9df4ce104202ddf64a93af6bef1fa953830f
194,195.pgm,fit,0e2e3f4297505c356fdab7ac6e52dfbe4a20acf2a0340e2c53aeb7582ade0903
195,196.pgm,fit,1c7a07df6f11624baab0959c80539cd604263d7a44adf98ce6ff390aa53f269f
196,197.pgm,holdout,8a9286197b02ffbdc653125da8eb2d77bc0ec6f6ef12ec581550ab4b47fd02ed
197,198.pgm,holdout,c7a9a279623bff56719b5291458411e2e55dfd446fa1623d6cd7b71cabc9cf95
198,199.pgm,calibration,6d5c05c8fe4c7e524b9677591d8a0efa6235c21abf2acf76156a144e5331e692
199,200.pgm,holdout,cd2fc35e5d9ad31f3c272e23c0b69d59998de6bf8544f209ac96e56ab78daa3b
200,201.pgm,holdout,a2e97c634c21419fa6481949020d73de2893fac63f2cc41dcaa2236d1a190b23
201,202.pgm,holdout,bfe4867f44f7aa875e969a49d9bf6f2f3953d68699a54749673b280c2f294c57
202,203.pgm,holdout,f75f70ba5b4ca8739d4711ce81b425a7b8f2effff7c0f417727c6280010a5520
203,204.pgm,fit,4cec05050eb96368c6ecaf17fad5e9ca410355b5bb06790e9ddbce04e0cdefdb
204,205.pgm,holdout,9ad65b58721296bcfb53fe0cc534de8ebd6d230ea694e6abc7626831db363683
205,206.pgm,calibration,5e0f9bd5a60c04bd947136c085ed1004ecbe31067778743385e0ea38c1beb461
206,207.pgm,holdout,cbdad7e175f7847ad56d8ba56f76657f88e611b619b59cf5bd5c688bf96e4908
207,208.pgm,holdout,c41a9375299bd6b12639a4bdabef2ab8c58d64113dd80b4c7e90fbb1c084678a
208,209.pgm,fit,0b07ff74c82db92959f01845e2149f09806ea6ee65af02ee7a39a61d9c9cac2a
209,210.pgm,holdout,a84e69366f89666a0115cc21aa74e4625ead91ca9c8719261f534380ac81a31c
210,211.pgm,fit,18075aa0f11606f2a23a0b79f207ab888954aaa6ef2e5f118daa268e185b964f
211,212.pgm,fit,0053090e4cbb3e25b797117a3a76e2abd3aa8efa00e4a72866dd30c9fda14ace
212,213.pgm,calibration,76c6c58bbfc8dea3c7d8c079db97ddc0659c39565aee50350fe62a55ba5f2ec4
213,214.pgm,fit,435d3a4acd2e6ff65c28500c32094e48b5ff132ecff77aee27c80522e5ff58af
214,215.pgm,calibration,6e2c69fe9731183b09f133fc6d80584356a20c04a43266e6a382dbb5bff9bde0
215,216.pgm,fit,3ffa3cdf8389ed2b4f6c2438e9ed7ebf70aa24f798437893151a05bd533b1b03
216,217.pgm,fit,46d074b0b08d43b1e97dd9c1782d836988a75d175250d69fc175bd694156b8a5
217,218.pgm,holdout,81149223a862bde5491f478865ef252c9de69e22e58a0c02820702f35cd0394b
218,219.pgm,holdout,8b66259ee6d149d698de2e7a4dbaa21324dc104562e3044a475af30366d90877
219,220.pgm,calibration,7a6c5754138288846bfed30556d2b1efea3c7a709ee7a5d14ea36d7fae7d5637
220,221.pgm,holdout,c9bc74ef88d9e15f938e10e2cac066307e38b9531d21dbe15cae870a3aad450c
221,222.pgm,holdout,fce28f89f418f9678bf4800f3d3580eb9749469ce68311bee0ff469f58734de1
222,223.pgm,fit,1c910ceb1b35b6cf085f0872e320151a825a97d25963f754872983b97a2e74ba
223,224.pgm,calibration,59fd0f1cd6c658387e28e2bcb0a465949cc9e4fe8a88784f49f307f4b5332a8e
224,225.pgm,calibration,6dc50cff43e3b828c5c19229eb5a12cf8f1aa113e32a2a34895f42f6485d2903
225,226.pgm,calibration,71a2a9afba31728f52bc0635c0a0a589a4acbebf64740be64ebea8bbb7b48906
226,227.pgm,fit,23a352438490d17a5b5a623a871872fc43a6fc273f7da8bb56f7cb07eda54e55
227,228.pgm,holdout,dc857010e01bad98c25bdb40700bf0399484b53071ab9ab23d043955a9fdffce
228,229.pgm,fit,12835177cb4d996ad150a7c916184521ccaf701ed51aa7dea6b3055e5e57178d
229,230.pgm,fit,0f5e407f96bfd758e2c17ac85e4dc7c771be1befccab44a872b7101cdf4b0510
230,231.pgm,holdout,898205a64588e00c0ab79822a402f48760343faca640a5c74b3ff14dbe308359
231,232.pgm,holdout,85b14366c1f404b404093c1d678e941a35a2da5ba43debee2609c9206aa15e22
232,233.pgm,holdout,a72c9da8fe04679bb1c0db1b9dd5d51e2f8097fd39d81114548a2eff30ed5516
233,234.pgm,fit,5054dcc5e798c1b509a9c3ed0adb107c3a73b29365310de613eadec2dd64ee09
234,235.pgm,fit,15ef8032d0ef98d6c26284dfa9a7634b20314499fc89ac4c734cde229da5347e
235,236.pgm,holdout,82b7635d19dab8936e93c031855a593ef3f589f048e3153b706b0bffd4e456f6
236,237.pgm,holdout,9870274e3131a091bfb8c257c778ca922d04728da970ee742ba85daf87e17b7b
237,238.pgm,holdout,de2e47edb4cd338aa9f5b0f24db8fd9bf34af5bccab85bb313cffa2b8479fd00
238,239.pgm,fit,2459d09a4ad3ed7aa18e0284a68f1b1fa7a1fa427dd6a04add9264e2b12dadd0
239,240.pgm,calibration,6b5ff8ef9a2f11aef56b8975fca7c9d28ffb94d08f25ff275298eccf6fec8501
240,241.pgm,fit,13e846c402771b1f6ba6f8bc1a17fd8a0d9a73207aac9e2a3ebdb3d9d3d8d820
241,242.pgm,holdout,fabb24a9e1c74a4bdfd49447cd87254c24c56e681b5cfc24ad5f3b0ee643ab3a
242,243.pgm,fit,443bcf1c0ab2a8c8c11fa8719fc0ddb403d2d5777d40735125235570a29b8ef5
243,244.pgm,fit,135b088d33232d38c7a95de303b3a5238d3df526b6a979b81650e3f816a2ff44
244,245.pgm,calibration,6ca91b0867117edaf2a072abf858cd357764b02e7dc76e13e81b3499927d47c6
245,246.pgm,calibration,7fa367b0594d905d3fa6aacb7a096294cf3f22f0f95e56738a32f72afff2bba2
246,247.pgm,holdout,efb3d323eed750fe2fbd21fb6aaa0fec2f415ab651095a5c74d2442e842d03ca
247,248.pgm,holdout,eb5f4881dd966b708f67120959fc8433859cd86a3933f04fe6bfc848e5dfde93
248,249.pgm,holdout,dc281cbd947a9f1bf7b18cde9b56bbcee4e1c17cba5215091e9fdf1a1a79a4b0
249,250.pgm,calibration,5b8dcbb25d8ebe7b1a40d9d817e3abd3886aad0fa6621c759535ae19e2e33fe6
250,251.pgm,fit,0d205b37d13b1d7d549a1221f018ae2522e3951f410c35edcf0dcd5e4bf191e6
251,252.pgm,holdout,d09b3d11cc09eab959a3dcf07620ca5635b18c148d0674a17699996195f14f21
252,253.pgm,holdout,8b9ee8c16a084c42567488d7828e8ad7d1eb0ea9f5c079a98e4e5c6073a77b9b
